Kandidat,Parti,Likerklikk,Kommentarer,Delinger,Visninger,SUM,Engasjement,Engasjementsrate_%
Jonas Ali,MDG,375418,23854,35759,8214130,8649161,435031,5.3
Jonas Gahr Støre,Ap,330236,6340,36034,4374761,4747371,372610,8.52
Ola Svenneby,H,200416,2889,12914,2966695,3182914,216219,7.29
Erna Solberg,H,153264,5026,28668,2858186,3045144,186958,6.54
Eivind Trædal,MDG,397333,40653,21931,2346207,2806124,459917,19.6
Dordi Boksasp Lerum,Sp,112145,2463,11716,2610376,2736700,126324,4.84
Gyda Oddekalv,GP,138971,13149,11289,2492348,2655757,163409,6.56
Simen Velle,FrP,146072,3640,7328,1779305,1936345,157040,8.83
Stina Strande,Sp,49048,2616,11225,1791674,1854563,62889,3.51
Kristin Lode,FrP,91366,4641,8256,1227956,1332219,104263,8.49
